address_state,emp_length,grade,home_ownership,purpose,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,is_bad_loan,predicted_default_risk
WI,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,173000.0,0.0072,313.67,0.0807,10000,41,0,0
CT,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0894,316.28,0.0863,10000,27,0,0
TX,5 years,B,MORTGAGE,car, 36 months,Not Verified,40000.0,0.1872,257.24,0.0976,8000,35,0,0
NJ,9 years,B,MORTGAGE,car, 36 months,Not Verified,200000.0,0.0484,192.93,0.0976,6000,22,0,0
MN,10+ years,E,MORTGAGE,car, 36 months,Not Verified,72000.0,0.2257,170.72,0.1393,5000,44,0,0
WA,2 years,A,OWN,car, 36 months,Not Verified,10000.0,0.0,142.33,0.0863,4500,6,0,0
CA,10+ years,A,RENT,car, 36 months,Not Verified,62000.0,0.1407,345.06,0.0807,11000,23,0,0
MA,< 1 year,A,RENT,car, 36 months,Not Verified,28800.0,0.0,108.27,0.0712,3500,5,0,0
CO,2 years,B,RENT,car, 36 months,Not Verified,50000.0,0.0506,194.91,0.1046,6000,21,0,0
WA,3 years,B,RENT,car, 36 months,Not Verified,37000.0,0.1674,175.42,0.092,5500,36,0,0
TN,< 1 year,C,RENT,car, 36 months,Not Verified,54263.0,0.1238,115.69,0.1166,3500,23,0,0
VA,1 year,C,RENT,car, 36 months,Not Verified,18000.0,0.18,130.79,0.1091,4000,5,0,0
VA,2 years,C,RENT,car, 36 months,Not Verified,41000.0,0.1692,98.26,0.1103,3000,16,0,0
CT,1 year,A,MORTGAGE,car, 36 months,Not Verified,85000.0,0.0239,136.66,0.074,4400,19,0,0
GA,1 year,A,MORTGAGE,car, 36 months,Not Verified,28500.0,0.0223,265.13,0.0768,8500,10,0,0
TX,1 year,A,MORTGAGE,car, 36 months,Not Verified,40308.0,0.0578,155.96,0.0768,5000,19,0,0
TX,1 year,A,MORTGAGE,car, 36 months,Not Verified,149400.0,0.0994,214.93,0.0662,7000,43,0,0
WI,1 year,A,MORTGAGE,car, 36 months,Not Verified,54000.0,0.1129,60.84,0.0599,2000,18,0,0
OH,1 year,A,MORTGAGE,car, 36 months,Not Verified,38400.0,0.0319,74.1,0.0699,2400,7,0,0
MO,1 year,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0242,149.29,0.0749,4800,6,0,0
RI,1 year,A,MORTGAGE,car, 36 months,Not Verified,58000.0,0.2127,124.04,0.0729,4000,24,0,0
MD,10+ years,A,MORTGAGE,car, 36 months,Not Verified,31000.0,0.0283,241.28,0.0542,8000,17,0,0
MO,10+ years,A,MORTGAGE,car, 36 months,Not Verified,33600.0,0.0161,90.48,0.0542,3000,15,0,0
CA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,64320.0,0.025,243.49,0.0603,8000,17,0,0
RI,10+ years,A,MORTGAGE,car, 36 months,Not Verified,79200.0,0.0218,150.8,0.0542,5000,28,0,0
DE,10+ years,A,MORTGAGE,car, 36 months,Not Verified,63996.0,0.0651,96.52,0.0542,3200,26,0,0
NY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,72000.0,0.2075,223.19,0.0542,7400,23,0,0
PA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,72000.0,0.1782,152.18,0.0603,5000,37,0,0
NM,10+ years,A,MORTGAGE,car, 36 months,Not Verified,41784.0,0.1872,152.18,0.0603,5000,22,0,0
TX,10+ years,A,MORTGAGE,car, 36 months,Not Verified,96000.0,0.238,182.62,0.0603,6000,27,0,0
NY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,54000.0,0.2407,182.62,0.0603,6000,32,0,0
NV,10+ years,A,MORTGAGE,car, 36 months,Not Verified,36000.0,0.2293,271.44,0.0542,9000,47,0,0
MN,10+ years,A,MORTGAGE,car, 36 months,Not Verified,114000.0,0.1658,219.14,0.0603,7200,52,0,0
TX,10+ years,A,MORTGAGE,car, 36 months,Not Verified,48000.0,0.1732,170.41,0.0542,5650,32,0,0
LA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,39600.0,0.1406,182.51,0.0599,6000,32,0,0
NJ,10+ years,A,MORTGAGE,car, 36 months,Not Verified,108000.0,0.1976,107.69,0.0676,3500,37,0,0
FL,10+ years,A,MORTGAGE,car, 36 months,Not Verified,57431.0,0.0618,123.07,0.0676,4000,21,0,0
AR,10+ years,A,MORTGAGE,car, 36 months,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,0,0
AR,10+ years,A,MORTGAGE,car, 36 months,Not Verified,26000.0,0.0429,218.54,0.0774,7000,11,0,0
OH,10+ years,A,MORTGAGE,car, 36 months,Not Verified,75000.0,0.0234,156.1,0.0774,5000,21,0,0
KY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,58000.0,0.2692,56.0,0.0751,1800,28,0,0
NC,10+ years,A,MORTGAGE,car, 36 months,Not Verified,50000.0,0.203,308.41,0.0692,10000,32,0,0
OH,10+ years,A,MORTGAGE,car, 36 months,Not Verified,48000.0,0.1988,201.57,0.0729,6500,24,0,0
CA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,73000.0,0.1433,155.51,0.0749,5000,23,0,0
CT,10+ years,A,MORTGAGE,car, 36 months,Not Verified,68000.0,0.0286,248.82,0.0749,8000,13,0,0
GA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,112992.0,0.1825,248.82,0.0749,8000,25,0,0
VA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,135000.0,0.0518,255.58,0.0932,8000,14,0,0
GA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,75181.0,0.1831,186.66,0.0751,6000,30,0,0
IL,10+ years,A,MORTGAGE,car, 36 months,Not Verified,110400.0,0.1916,93.31,0.0749,3000,41,0,0
CA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,48000.0,0.1257,481.42,0.0963,15000,31,0,0
TX,2 years,A,MORTGAGE,car, 36 months,Not Verified,54000.0,0.0267,268.83,0.0705,8700,15,0,0
CO,2 years,A,MORTGAGE,car, 36 months,Not Verified,85000.0,0.04,168.9,0.0542,5600,36,0,0
TX,2 years,A,MORTGAGE,car, 36 months,Not Verified,36000.0,0.1997,54.9,0.0617,1800,21,0,0
NY,2 years,A,MORTGAGE,car, 36 months,Not Verified,36000.0,0.1883,217.72,0.0749,7000,13,0,0
CA,3 years,A,MORTGAGE,car, 36 months,Not Verified,120000.0,0.052,140.76,0.0639,4600,42,0,0
AZ,3 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.1004,62.12,0.074,2000,14,0,0
OH,3 years,A,MORTGAGE,car, 36 months,Not Verified,62352.0,0.1207,116.68,0.0662,3800,24,0,0
PA,3 years,A,MORTGAGE,car, 36 months,Not Verified,54000.0,0.1129,151.64,0.0579,5000,20,0,0
MD,3 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0036,313.37,0.08,10000,11,0,0
TX,4 years,A,MORTGAGE,car, 36 months,Not Verified,66000.0,0.0118,91.31,0.0603,3000,23,0,0
FL,4 years,A,MORTGAGE,car, 36 months,Not Verified,241875.0,0.064,494.4,0.0705,16000,24,0,0
NY,4 years,A,MORTGAGE,car, 36 months,Not Verified,24000.0,0.067,39.21,0.0542,1300,46,0,0
VA,4 years,A,MORTGAGE,car, 36 months,Not Verified,96000.0,0.0829,138.46,0.0676,4500,28,0,0
CA,4 years,A,MORTGAGE,car, 36 months,Not Verified,90000.0,0.0428,156.69,0.08,5000,12,0,0
FL,4 years,A,MORTGAGE,car, 36 months,Not Verified,81804.0,0.0898,282.03,0.08,9000,30,0,0
CA,4 years,A,MORTGAGE,car, 36 months,Not Verified,28880.0,0.1596,63.23,0.0859,2000,12,0,0
VA,5 years,A,MORTGAGE,car, 36 months,Not Verified,51000.0,0.1753,121.75,0.0603,4000,15,0,0
GA,5 years,A,MORTGAGE,car, 36 months,Not Verified,49000.0,0.0585,105.56,0.0542,3500,16,0,0
WA,5 years,A,MORTGAGE,car, 36 months,Not Verified,42000.0,0.044,180.96,0.0542,6000,31,0,0
GA,5 years,A,MORTGAGE,car, 36 months,Not Verified,50000.0,0.0317,155.3,0.074,5000,32,0,0
AZ,5 years,A,MORTGAGE,car, 36 months,Not Verified,85000.0,0.0329,247.52,0.0714,8000,32,0,0
GA,5 years,A,MORTGAGE,car, 36 months,Not Verified,50000.0,0.0833,95.85,0.0932,3000,28,0,0
PA,5 years,A,MORTGAGE,car, 36 months,Not Verified,139200.0,0.2009,187.75,0.079,6000,31,0,0
NY,6 years,A,MORTGAGE,car, 36 months,Not Verified,57600.0,0.0725,120.64,0.0542,4000,24,0,0
NV,6 years,A,MORTGAGE,car, 36 months,Not Verified,37459.0,0.0061,172.71,0.0692,5600,8,0,0
GA,6 years,A,MORTGAGE,car, 36 months,Not Verified,58500.0,0.0507,125.35,0.08,4000,19,0,0
CA,6 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.014,94.59,0.0729,3050,12,0,0
NY,7 years,A,MORTGAGE,car, 36 months,Not Verified,65000.0,0.1429,180.96,0.0542,6000,33,0,0
FL,7 years,A,MORTGAGE,car, 36 months,Not Verified,72000.0,0.0217,154.21,0.0692,5000,11,0,0
CA,7 years,A,MORTGAGE,car, 36 months,Not Verified,123000.0,0.234,280.61,0.0691,15000,50,0,0
CA,8 years,A,MORTGAGE,car, 36 months,Not Verified,110000.0,0.0524,235.25,0.0542,7800,27,0,0
SC,8 years,A,MORTGAGE,car, 36 months,Not Verified,48000.0,0.109,135.72,0.0542,4500,28,0,0
CT,8 years,A,MORTGAGE,car, 36 months,Not Verified,77040.0,0.205,179.47,0.0599,5900,30,0,0
OH,8 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.2712,62.21,0.0749,2000,31,0,0
VA,8 years,A,MORTGAGE,car, 36 months,Not Verified,40560.0,0.0737,93.03,0.0729,3000,47,0,0
CA,9 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.15,108.58,0.0542,3600,41,0,0
CA,9 years,A,MORTGAGE,car, 36 months,Not Verified,54960.0,0.1085,167.4,0.0603,5500,15,0,0
DE,9 years,A,MORTGAGE,car, 36 months,Not Verified,84000.0,0.1734,183.97,0.0766,5900,31,0,0
MO,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,65000.0,0.1927,120.64,0.0542,4000,20,0,0
FL,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,50004.0,0.101,372.55,0.0737,12000,31,0,0
CT,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,52000.0,0.0909,312.81,0.0788,10000,20,0,0
TX,10+ years,A,MORTGAGE,car, 36 months,Not Verified,115000.0,0.0271,121.75,0.0603,4000,22,0,0
MA,3 years,A,MORTGAGE,car, 36 months,Not Verified,99996.0,0.0432,250.69,0.08,8000,18,0,0
IL,5 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.2096,150.8,0.0542,5000,34,0,0
FL,1 year,A,MORTGAGE,car, 36 months,Not Verified,45000.0,0.1632,92.12,0.0662,3000,23,0,0
TX,1 year,A,MORTGAGE,car, 36 months,Not Verified,40000.0,0.1041,124.04,0.0729,4000,12,0,0
FL,1 year,A,MORTGAGE,car, 36 months,Not Verified,55000.0,0.1647,252.51,0.0849,8000,27,0,0
VA,1 year,A,MORTGAGE,car, 36 months,Not Verified,72000.0,0.1887,65.48,0.0766,2100,39,0,0
VA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,75000.0,0.0173,247.2,0.0705,8000,24,0,0
OH,10+ years,A,MORTGAGE,car, 36 months,Not Verified,85000.0,0.0476,180.96,0.0542,6000,22,0,0
MO,10+ years,A,MORTGAGE,car, 36 months,Not Verified,70000.0,0.101,135.38,0.0676,4400,15,0,0
NY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,48000.0,0.104,150.88,0.0579,4975,11,0,0
PA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,73400.0,0.0281,64.62,0.0676,2100,28,0,0
MO,10+ years,A,MORTGAGE,car, 36 months,Not Verified,68800.0,0.1387,145.57,0.0579,4800,46,0,0
WV,10+ years,A,MORTGAGE,car, 36 months,Not Verified,40000.0,0.0885,121.31,0.0579,4000,31,0,0
IL,10+ years,A,MORTGAGE,car, 36 months,Not Verified,65500.0,0.2255,91.26,0.0599,3000,34,0,0
IL,10+ years,A,MORTGAGE,car, 36 months,Not Verified,52800.0,0.1527,59.23,0.0676,1925,43,0,0
KY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0858,248.89,0.0751,8000,52,0,0
AZ,2 years,A,MORTGAGE,car, 36 months,Not Verified,105000.0,0.0514,150.8,0.0542,5000,20,0,0
MI,2 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.1446,45.66,0.0603,1500,35,0,0
NJ,2 years,A,MORTGAGE,car, 36 months,Not Verified,52000.0,0.1452,146.88,0.0639,4800,28,0,0
NJ,2 years,A,MORTGAGE,car, 36 months,Not Verified,69000.0,0.2297,344.09,0.0788,11000,59,0,0
LA,3 years,A,MORTGAGE,car, 36 months,Not Verified,76800.0,0.1034,184.23,0.0662,6000,27,0,0
MI,3 years,A,MORTGAGE,car, 36 months,Not Verified,70000.0,0.2038,237.96,0.0662,7750,26,0,0
NY,3 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.1276,139.77,0.074,4500,33,0,0
TX,3 years,A,MORTGAGE,car, 36 months,Not Verified,99400.0,0.089,185.05,0.0692,6000,38,0,0
MD,4 years,A,MORTGAGE,car, 36 months,Not Verified,96000.0,0.016,292.01,0.0599,9600,11,0,0
NY,4 years,A,MORTGAGE,car, 36 months,Not Verified,95000.0,0.0728,242.62,0.0579,8000,43,0,0
WI,4 years,A,MORTGAGE,car, 36 months,Not Verified,45000.0,0.048,46.41,0.0714,1500,29,0,0
CO,5 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0188,60.32,0.0542,2000,29,0,0
WA,5 years,A,MORTGAGE,car, 36 months,Not Verified,72000.0,0.2152,496.95,0.074,16000,23,0,0
LA,5 years,A,MORTGAGE,car, 36 months,Not Verified,80000.0,0.1452,154.37,0.0699,5000,20,0,0
NM,5 years,A,MORTGAGE,car, 36 months,Not Verified,38400.0,0.1072,186.67,0.0751,6000,13,0,0
IL,5 years,A,MORTGAGE,car, 36 months,Not Verified,52000.0,0.1048,121.33,0.0751,3900,12,0,0
MD,5 years,A,MORTGAGE,car, 36 months,Not Verified,100000.0,0.0803,342.21,0.0751,11000,36,0,0
NY,6 years,A,MORTGAGE,car, 36 months,Not Verified,70000.0,0.0807,180.96,0.0542,6000,45,0,0
NY,6 years,A,MORTGAGE,car, 36 months,Not Verified,51000.0,0.0137,181.97,0.0579,6000,10,0,0
MO,6 years,A,MORTGAGE,car, 36 months,Not Verified,41664.0,0.1529,121.67,0.0599,4000,26,0,0
UT,6 years,A,MORTGAGE,car, 36 months,Not Verified,97000.0,0.1018,252.86,0.0691,12975,12,0,0
GA,7 years,A,MORTGAGE,car, 36 months,Not Verified,68000.0,0.0145,90.48,0.0542,3000,25,0,0
PA,7 years,A,MORTGAGE,car, 36 months,Not Verified,52700.0,0.1724,124.24,0.074,4000,18,0,0
GA,7 years,A,MORTGAGE,car, 36 months,Not Verified,55000.0,0.1462,91.26,0.0599,3000,39,0,0
MD,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,45000.0,0.1139,185.76,0.0774,5950,18,0,0
NY,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,58000.0,0.0989,298.65,0.0751,9600,11,0,0
KY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,80796.0,0.1019,155.56,0.0751,5000,29,0,0
OK,3 years,A,MORTGAGE,car, 36 months,Not Verified,30000.0,0.092,159.59,0.079,5100,23,0,0
TX,7 years,A,MORTGAGE,car, 36 months,Not Verified,73440.0,0.0559,216.11,0.0699,7000,11,0,0
PA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,26796.0,0.0658,78.72,0.0832,3000,15,0,0
NY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,47500.0,0.1976,111.14,0.089,3500,34,0,0
OH,1 year,A,MORTGAGE,car, 36 months,Not Verified,79000.0,0.0317,218.54,0.0774,7000,22,0,0
AR,10+ years,A,MORTGAGE,car, 36 months,Not Verified,49536.0,0.0908,159.66,0.0662,5200,29,0,0
KS,10+ years,A,MORTGAGE,car, 36 months,Not Verified,96000.0,0.1465,127.76,0.0599,4200,20,0,0
MO,10+ years,A,MORTGAGE,car, 36 months,Not Verified,69600.0,0.131,37.05,0.0699,1200,22,0,0
TX,3 years,A,MORTGAGE,car, 36 months,Not Verified,84554.16,0.1524,109.57,0.0603,3600,32,0,0
AZ,3 years,A,MORTGAGE,car, 36 months,Not Verified,90000.0,0.1035,90.48,0.0542,3000,30,0,0
PA,3 years,A,MORTGAGE,car, 36 months,Not Verified,85000.0,0.1276,123.08,0.0676,4000,27,0,0
CO,3 years,A,MORTGAGE,car, 36 months,Not Verified,35100.0,0.1593,145.46,0.0788,4650,10,0,0
TX,3 years,A,MORTGAGE,car, 36 months,Not Verified,45600.0,0.1605,45.77,0.0849,1450,18,0,0
CA,6 years,A,MORTGAGE,car, 36 months,Not Verified,81504.0,0.2488,74.02,0.0692,2400,27,0,0
NV,6 years,A,MORTGAGE,car, 36 months,Not Verified,97000.0,0.0878,186.61,0.0749,6000,20,0,0
MA,8 years,A,MORTGAGE,car, 36 months,Not Verified,57000.0,0.1166,216.59,0.0714,7000,30,0,0
TX,9 years,A,MORTGAGE,car, 36 months,Not Verified,102996.0,0.1547,249.75,0.0774,8000,30,0,0
VA,1 year,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.026,228.14,0.0599,7500,30,0,0
CA,10+ years,A,MORTGAGE,car, 36 months,Not Verified,66560.0,0.0757,127.38,0.0579,4200,29,0,0
IL,2 years,A,MORTGAGE,car, 36 months,Not Verified,124800.0,0.1124,153.52,0.0662,5000,25,0,0
IL,2 years,A,MORTGAGE,car, 36 months,Not Verified,120000.0,0.211,184.61,0.0676,6000,63,0,0
WV,2 years,A,MORTGAGE,car, 36 months,Not Verified,97200.0,0.0877,171.11,0.0751,5500,26,0,0
IL,4 years,A,MORTGAGE,car, 36 months,Not Verified,100000.0,0.096,142.98,0.0894,4500,49,0,0
CA,5 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0398,193.34,0.0579,7200,13,0,0
TX,7 years,A,MORTGAGE,car, 36 months,Not Verified,60000.0,0.1984,128.96,0.0662,4200,29,0,0
CA,8 years,A,MORTGAGE,car, 36 months,Not Verified,44000.0,0.0982,111.15,0.0699,3600,21,0,0
MO,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,54000.0,0.2227,294.76,0.0662,9600,34,0,0
NJ,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,105000.0,0.1409,155.96,0.0768,5000,38,0,0
PA,1 year,A,MORTGAGE,car, 36 months,Not Verified,71040.0,0.0764,90.99,0.0579,3000,25,0,0
WY,10+ years,A,MORTGAGE,car, 36 months,Not Verified,22000.0,0.1309,222.78,0.0714,7200,15,0,0
WA,5 years,A,MORTGAGE,car, 36 months,Not Verified,66000.0,0.1149,264.45,0.0751,8500,24,0,0
TX,5 years,A,MORTGAGE,car, 36 months,Not Verified,88000.0,0.0068,123.77,0.0714,4000,22,0,0
VA,10+ years,B,MORTGAGE,car, 36 months,Not Verified,90000.0,0.0913,111.71,0.0925,3500,15,0,0
NM,10+ years,B,MORTGAGE,car, 36 months,Not Verified,60000.0,0.2288,166.37,0.1075,5100,29,0,0
FL,10+ years,B,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0764,309.72,0.0999,9600,12,0,0
WV,10+ years,B,MORTGAGE,car, 36 months,Not Verified,65000.0,0.0762,149.45,0.1199,4500,6,0,0
AZ,10+ years,B,MORTGAGE,car, 36 months,Not Verified,40000.0,0.1929,129.75,0.1036,4000,13,0,0
PA,2 years,B,MORTGAGE,car, 36 months,Not Verified,131000.0,0.2183,362.71,0.1025,11200,34,0,0
LA,2 years,B,MORTGAGE,car, 36 months,Not Verified,57600.0,0.1731,294.61,0.1099,9000,18,0,0
SC,2 years,B,MORTGAGE,car, 36 months,Not Verified,96000.0,0.2493,136.99,0.1074,4200,49,0,0
OR,3 years,B,MORTGAGE,car, 36 months,Not Verified,31200.0,0.1123,118.69,0.1148,3600,13,0,0
KY,3 years,B,MORTGAGE,car, 36 months,Not Verified,76800.0,0.1775,164.86,0.1149,5000,8,0,0
MD,3 years,B,MORTGAGE,car, 36 months,Not Verified,75000.0,0.1704,98.38,0.1111,3000,29,0,0
OH,4 years,B,MORTGAGE,car, 36 months,Not Verified,39000.0,0.0231,106.39,0.1099,3250,13,0,0
WV,5 years,B,MORTGAGE,car, 36 months,Not Verified,65200.0,0.1721,98.59,0.1126,3000,36,0,0
GA,6 years,B,MORTGAGE,car, 36 months,Not Verified,83000.0,0.1865,161.13,0.0991,5000,18,0,0
MA,8 years,B,MORTGAGE,car, 36 months,Not Verified,62851.0,0.0903,399.6,0.1218,12000,22,0,0
AL,9 years,B,MORTGAGE,car, 36 months,Not Verified,54996.0,0.0539,484.01,0.1,15000,11,0,0
NC,2 years,B,MORTGAGE,car, 36 months,Not Verified,56160.0,0.0549,99.27,0.1059,3050,34,0,0
NM,1 year,B,MORTGAGE,car, 36 months,Not Verified,45000.0,0.1125,108.03,0.1099,3300,13,0,0
